LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,1.14,1.20,0.96,0.96,0.94,0.94,0.95,0.96,0.94,0.96,0.94,1.16,1.18,0.94,0.96,0.95,0.94,0.96,1.16,0.96,0.95,0.96,0.96,0.96,0.94,0.94,0.92,0.94,0.94,0.94,0.96,0.96,0.95,0.94,0.92,0.96,0.96,0.96,1.16,0.96,0.92,0.94,0.96,0.94,0.94,0.94,0.96,0.92,0.96,0.95,1.28,0.96,1.16,0.94,0.94,0.96,0.94,0.95,0.96,0.96,0.96,1.20,0.96,1.16,0.92,0.94,0.92,0.95,1.27,0.96,1.21,0.94,0.96,0.94,0.96,1.20,1.20,0.96,0.96,0.94,0.96,1.20,0.94,0.94,0.96,0.94,0.92,0.94,0.95,0.94,0.95,0.92,1.20,1.20,1.21,0.94,0.94,0.96,1.20,1.29,0.94,0.96,1.26,0.96,0.95,0.92,0.92,0.96,0.94,0.92,0.96,0.94,0.96,0.92,0.96,0.94,1.20,0.96,0.96,0.96,0.95,1.20,0.95,0.96,0.96,1.27,0.96,0.94,1.16,0.96,0.92,0.95,0.96,0.92,0.95,0.94,0.96,0.94,0.96,0.96,0.96,0.96,0.80,0.92,0.96,0.96,0.92,0.96,0.92,0.96,0.94,1.16,1.16,0.92,0.92,1.18,1.18,0.96,0.94,0.94,0.92,0.92,0.94,0.96,1.16,0.94,0.92,1.20,1.20,0.92,0.94,0.96,0.96,0.95,0.95,0.95,0.96,0.96,0.92,0.96,1.16,0.92,0.95,1.20,1.16,0.95,0.96,1.16,0.96,0.94,0.95,0.94,0.96,0.94,0.96,1.27,0.96,0.94,0.96,0.92,0.95,0.96,0.92,0.95,0.94,0.92,0.94,0.96,0.96,0.96,0.94,0.96,1.20,0.94,0.94,0.94,0.92,0.92,0.92,0.92,0.96,0.96,0.94,0.96,0.96
0.13,2,1.55,1.71,1.58,1.58,1.49,1.49,1.50,1.58,1.49,1.58,1.49,1.68,1.72,1.49,1.58,1.50,1.49,1.58,1.68,1.58,1.50,1.58,1.58,1.58,1.49,1.49,1.46,1.49,1.49,1.49,1.58,1.58,1.50,1.49,1.46,1.58,1.58,1.58,1.68,1.58,1.46,1.49,1.58,1.52,1.49,1.49,1.58,1.46,1.58,1.50,1.81,1.58,1.68,1.49,1.49,1.58,1.49,1.50,1.58,1.58,1.58,1.71,1.58,1.68,1.46,1.49,1.46,1.50,1.79,1.58,1.71,1.49,1.58,1.49,1.58,1.71,1.71,1.58,1.58,1.49,1.58,1.71,1.49,1.49,1.58,1.49,1.46,1.49,1.50,1.49,1.50,1.46,1.71,1.71,1.71,1.52,1.52,1.58,1.71,1.82,1.49,1.58,1.82,1.58,1.50,1.46,1.46,1.58,1.49,1.46,1.58,1.49,1.58,1.46,1.58,1.49,1.71,1.58,1.58,1.58,1.50,1.71,1.50,1.58,1.58,1.79,1.58,1.49,1.68,1.58,1.46,1.50,1.58,1.46,1.50,1.49,1.58,1.49,1.58,1.58,1.58,1.58,1.25,1.46,1.58,1.58,1.46,1.58,1.46,1.58,1.49,1.68,1.68,1.46,1.46,1.72,1.72,1.58,1.49,1.49,1.46,1.46,1.52,1.58,1.68,1.49,1.46,1.71,1.71,1.46,1.49,1.58,1.58,1.50,1.50,1.50,1.58,1.58,1.46,1.58,1.68,1.46,1.50,1.71,1.68,1.50,1.58,1.68,1.58,1.49,1.50,1.49,1.58,1.49,1.58,1.79,1.58,1.52,1.58,1.46,1.50,1.58,1.46,1.50,1.49,1.46,1.52,1.58,1.58,1.58,1.49,1.58,1.71,1.49,1.49,1.49,1.46,1.46,1.46,1.46,1.58,1.58,1.52,1.58,1.58
0.19,3,1.81,2.21,2.20,2.20,2.03,2.03,2.05,2.20,2.03,2.20,1.84,2.01,2.07,2.03,2.20,2.05,2.03,2.20,2.01,2.20,2.05,2.20,2.20,2.20,2.03,2.03,2.00,2.03,1.84,2.03,2.20,2.20,2.05,2.03,2.00,2.20,2.20,2.20,2.01,2.20,2.00,2.03,2.20,1.89,2.03,2.03,2.20,2.00,2.20,2.05,2.15,2.20,2.01,2.03,2.03,2.20,2.03,2.05,2.20,2.20,2.20,2.03,2.20,2.01,2.00,2.03,2.00,2.05,2.12,2.20,2.03,2.03,2.20,2.03,2.20,2.21,2.21,2.20,2.20,2.03,2.20,2.03,2.03,2.03,2.20,2.03,1.81,2.03,2.05,2.03,2.05,2.00,2.03,2.03,2.03,1.89,1.89,2.20,2.21,2.15,2.03,2.20,2.17,2.20,2.05,2.00,2.00,2.20,2.03,1.81,2.20,2.03,2.20,2.00,2.20,2.03,2.21,2.20,2.20,2.20,2.05,2.21,2.05,2.20,2.20,2.12,2.20,2.03,2.01,2.20,2.00,2.05,2.20,2.00,2.05,2.03,2.20,2.03,2.20,2.20,2.20,2.20,1.54,2.00,2.20,2.20,2.00,2.20,2.00,2.20,2.03,2.01,2.01,2.00,2.00,2.07,2.07,2.20,2.03,2.03,2.00,2.00,1.89,2.20,2.01,2.03,2.00,2.03,2.03,2.00,2.03,2.20,2.20,2.05,2.05,2.05,2.20,2.20,2.00,2.20,2.01,1.81,2.05,2.03,2.01,2.05,2.20,2.01,2.20,2.03,2.05,2.03,2.20,2.03,2.20,2.12,2.20,1.89,2.20,2.00,2.05,2.20,2.00,2.05,2.03,2.00,1.89,2.20,2.20,2.20,2.03,2.20,2.21,2.03,2.03,2.03,2.00,2.00,2.00,2.00,2.20,2.20,1.89,2.20,2.20
0.25,4,2.20,2.75,2.85,2.85,2.61,2.61,2.63,2.85,2.61,2.85,2.35,2.50,2.57,2.61,2.85,2.63,2.61,2.85,2.50,2.85,2.63,2.85,2.85,2.85,2.61,2.61,2.57,2.61,2.35,2.61,2.85,2.85,2.63,2.61,2.57,2.85,2.85,2.85,2.50,2.85,2.57,2.61,2.85,2.43,2.61,2.61,2.85,2.57,2.85,2.63,2.65,2.85,2.50,2.61,2.61,2.85,2.61,2.63,2.85,2.85,2.85,2.51,2.85,2.50,2.57,2.61,2.57,2.63,2.61,2.85,2.50,2.61,2.85,2.61,2.85,2.75,2.75,2.85,2.85,2.61,2.85,2.51,2.61,2.61,2.85,2.61,2.31,2.61,2.63,2.61,2.63,2.57,2.51,2.51,2.50,2.43,2.43,2.85,2.75,2.65,2.61,2.85,2.68,2.85,2.63,2.57,2.57,2.85,2.61,2.31,2.85,2.61,2.85,2.57,2.85,2.61,2.75,2.85,2.85,2.85,2.63,2.75,2.63,2.85,2.85,2.61,2.85,2.61,2.50,2.85,2.57,2.63,2.85,2.57,2.63,2.61,2.85,2.61,2.85,2.85,2.85,2.85,1.97,2.57,2.85,2.85,2.57,2.85,2.57,2.85,2.61,2.50,2.50,2.57,2.57,2.57,2.57,2.85,2.61,2.61,2.57,2.57,2.43,2.85,2.50,2.61,2.57,2.51,2.51,2.57,2.61,2.85,2.85,2.63,2.63,2.63,2.85,2.85,2.57,2.85,2.50,2.31,2.63,2.51,2.50,2.63,2.85,2.50,2.85,2.61,2.63,2.61,2.85,2.61,2.85,2.61,2.85,2.43,2.85,2.57,2.63,2.85,2.57,2.63,2.61,2.57,2.43,2.85,2.85,2.85,2.61,2.85,2.75,2.61,2.61,2.61,2.57,2.57,2.57,2.57,2.85,2.85,2.43,2.85,2.85
0.31,5,2.56,3.25,3.46,3.46,3.14,3.14,3.17,3.46,3.14,3.46,2.82,2.95,3.05,3.14,3.46,3.17,3.14,3.46,2.95,3.46,3.17,3.46,3.46,3.46,3.14,3.14,3.11,3.14,2.82,3.14,3.46,3.46,3.17,3.14,3.11,3.46,3.46,3.46,2.95,3.46,3.11,3.14,3.46,2.94,3.14,3.14,3.46,3.11,3.46,3.17,3.11,3.46,2.95,3.14,3.14,3.46,3.14,3.17,3.46,3.46,3.46,2.95,3.46,2.95,3.11,3.14,3.11,3.17,3.06,3.46,2.93,3.14,3.46,3.14,3.46,3.25,3.25,3.46,3.46,3.14,3.46,2.95,3.14,3.14,3.46,3.14,2.79,3.14,3.17,3.14,3.17,3.11,2.95,2.95,2.93,2.94,2.94,3.46,3.25,3.11,3.14,3.46,3.16,3.46,3.17,3.11,3.11,3.46,3.14,2.79,3.46,3.14,3.46,3.11,3.46,3.14,3.25,3.46,3.46,3.46,3.17,3.25,3.17,3.46,3.46,3.06,3.46,3.14,2.95,3.46,3.11,3.17,3.46,3.11,3.17,3.14,3.46,3.14,3.46,3.46,3.46,3.46,2.36,3.11,3.46,3.46,3.11,3.46,3.11,3.46,3.14,2.95,2.95,3.11,3.11,3.05,3.05,3.46,3.14,3.14,3.11,3.11,2.94,3.46,2.95,3.14,3.11,2.95,2.95,3.11,3.14,3.46,3.46,3.17,3.17,3.17,3.46,3.46,3.11,3.46,2.95,2.79,3.17,2.95,2.95,3.17,3.46,2.95,3.46,3.14,3.17,3.14,3.46,3.14,3.46,3.06,3.46,2.94,3.46,3.11,3.17,3.46,3.11,3.17,3.14,3.11,2.94,3.46,3.46,3.46,3.14,3.46,3.25,3.14,3.14,3.14,3.11,3.11,3.11,3.11,3.46,3.46,2.94,3.46,3.46
0.38,6,2.92,3.76,4.09,4.09,3.69,3.69,3.72,4.09,3.69,4.09,3.30,3.41,3.53,3.69,4.09,3.72,3.69,4.09,3.41,4.09,3.72,4.09,4.09,4.09,3.69,3.69,3.65,3.69,3.30,3.69,4.09,4.09,3.72,3.69,3.65,4.09,4.09,4.09,3.41,4.09,3.65,3.69,4.09,3.45,3.69,3.69,4.09,3.65,4.09,3.72,3.58,4.09,3.41,3.69,3.69,4.09,3.69,3.72,4.09,4.09,4.09,3.40,4.09,3.41,3.65,3.69,3.65,3.72,3.53,4.09,3.37,3.69,4.09,3.69,4.09,3.76,3.76,4.09,4.09,3.69,4.09,3.40,3.69,3.69,4.09,3.69,3.27,3.69,3.72,3.69,3.72,3.65,3.40,3.40,3.37,3.45,3.45,4.09,3.76,3.57,3.69,4.09,3.65,4.09,3.72,3.65,3.65,4.09,3.69,3.27,4.09,3.69,4.09,3.65,4.09,3.69,3.76,4.09,4.09,4.09,3.72,3.76,3.72,4.09,4.09,3.53,4.09,3.69,3.41,4.09,3.65,3.72,4.09,3.65,3.72,3.69,4.09,3.69,4.09,4.09,4.09,4.09,2.76,3.65,4.09,4.09,3.65,4.09,3.65,4.09,3.69,3.41,3.41,3.65,3.65,3.53,3.53,4.09,3.69,3.69,3.65,3.65,3.45,4.09,3.41,3.69,3.65,3.40,3.40,3.65,3.69,4.09,4.09,3.72,3.72,3.72,4.09,4.09,3.65,4.09,3.41,3.27,3.72,3.40,3.41,3.72,4.09,3.41,4.09,3.69,3.72,3.69,4.09,3.69,4.09,3.53,4.09,3.45,4.09,3.65,3.72,4.09,3.65,3.72,3.69,3.65,3.45,4.09,4.09,4.09,3.69,4.09,3.76,3.69,3.69,3.69,3.65,3.65,3.65,3.65,4.09,4.09,3.45,4.09,4.09
0.44,7,3.28,4.26,4.70,4.70,4.23,4.23,4.27,4.70,4.23,4.70,3.78,3.86,4.00,4.23,4.70,4.27,4.23,4.70,3.86,4.70,4.27,4.70,4.70,4.70,4.23,4.23,4.19,4.23,3.78,4.23,4.70,4.70,4.27,4.23,4.19,4.70,4.70,4.70,3.86,4.70,4.19,4.23,4.70,3.96,4.23,4.23,4.70,4.19,4.70,4.27,4.05,4.70,3.86,4.23,4.23,4.70,4.23,4.27,4.70,4.70,4.70,3.85,4.70,3.86,4.19,4.23,4.19,4.27,3.98,4.70,3.80,4.23,4.70,4.23,4.70,4.26,4.26,4.70,4.70,4.23,4.70,3.85,4.23,4.23,4.70,4.23,3.74,4.23,4.27,4.23,4.27,4.19,3.85,3.85,3.80,3.96,3.96,4.70,4.26,4.03,4.23,4.70,4.13,4.70,4.27,4.19,4.19,4.70,4.23,3.74,4.70,4.23,4.70,4.19,4.70,4.23,4.26,4.70,4.70,4.70,4.27,4.26,4.27,4.70,4.70,3.98,4.70,4.23,3.86,4.70,4.19,4.27,4.70,4.19,4.27,4.23,4.70,4.23,4.70,4.70,4.70,4.70,3.15,4.19,4.70,4.70,4.19,4.70,4.19,4.70,4.23,3.86,3.86,4.19,4.19,4.00,4.00,4.70,4.23,4.23,4.19,4.19,3.96,4.70,3.86,4.23,4.19,3.85,3.85,4.19,4.23,4.70,4.70,4.27,4.27,4.27,4.70,4.70,4.19,4.70,3.86,3.74,4.27,3.85,3.86,4.27,4.70,3.86,4.70,4.23,4.27,4.23,4.70,4.23,4.70,3.98,4.70,3.96,4.70,4.19,4.27,4.70,4.19,4.27,4.23,4.19,3.96,4.70,4.70,4.70,4.23,4.70,4.26,4.23,4.23,4.23,4.19,4.19,4.19,4.19,4.70,4.70,3.96,4.70,4.70
0.50,8,3.53,4.77,5.32,5.32,4.78,4.78,4.82,5.32,4.78,5.32,4.11,4.18,4.33,4.78,5.32,4.82,4.78,5.32,4.18,5.32,4.82,5.32,5.32,5.32,4.78,4.78,4.73,4.78,4.11,4.78,5.32,5.32,4.82,4.78,4.73,5.32,5.32,5.32,4.18,5.32,4.73,4.78,5.32,4.32,4.78,4.78,5.32,4.73,5.32,4.82,4.37,5.32,4.18,4.78,4.78,5.32,4.78,4.82,5.32,5.32,5.32,4.16,5.32,4.18,4.73,4.78,4.73,4.82,4.30,5.32,4.11,4.78,5.32,4.78,5.32,4.77,4.77,5.32,5.32,4.78,5.32,4.16,4.78,4.78,5.32,4.78,4.07,4.78,4.82,4.78,4.82,4.73,4.16,4.16,4.11,4.32,4.32,5.32,4.77,4.36,4.78,5.32,4.46,5.32,4.82,4.73,4.73,5.32,4.78,4.07,5.32,4.78,5.32,4.73,5.32,4.78,4.77,5.32,5.32,5.32,4.82,4.77,4.82,5.32,5.32,4.30,5.32,4.78,4.18,5.32,4.73,4.82,5.32,4.73,4.82,4.78,5.32,4.78,5.32,5.32,5.32,5.32,3.43,4.73,5.32,5.32,4.73,5.32,4.73,5.32,4.78,4.18,4.18,4.73,4.73,4.33,4.33,5.32,4.78,4.78,4.73,4.73,4.32,5.32,4.18,4.78,4.73,4.16,4.16,4.73,4.78,5.32,5.32,4.82,4.82,4.82,5.32,5.32,4.73,5.32,4.18,4.07,4.82,4.16,4.18,4.82,5.32,4.18,5.32,4.78,4.82,4.78,5.32,4.78,5.32,4.30,5.32,4.32,5.32,4.73,4.82,5.32,4.73,4.82,4.78,4.73,4.32,5.32,5.32,5.32,4.78,5.32,4.77,4.78,4.78,4.78,4.73,4.73,4.73,4.73,5.32,5.32,4.32,5.32,5.32
0.56,9,3.88,5.27,5.94,5.94,5.32,5.32,5.37,5.94,5.32,5.94,4.57,4.61,4.79,5.32,5.94,5.37,5.32,5.94,4.61,5.94,5.37,5.94,5.94,5.94,5.32,5.32,5.27,5.32,4.57,5.32,5.94,5.94,5.37,5.32,5.27,5.94,5.94,5.94,4.61,5.94,5.27,5.32,5.94,4.81,5.32,5.32,5.94,5.27,5.94,5.37,4.81,5.94,4.61,5.32,5.32,5.94,5.32,5.37,5.94,5.94,5.94,4.58,5.94,4.61,5.27,5.32,5.27,5.37,4.73,5.94,4.52,5.32,5.94,5.32,5.94,5.27,5.27,5.94,5.94,5.32,5.94,4.58,5.32,5.32,5.94,5.32,4.52,5.32,5.37,5.32,5.37,5.27,4.58,4.58,4.52,4.81,4.81,5.94,5.27,4.80,5.32,5.94,4.92,5.94,5.37,5.27,5.27,5.94,5.32,4.52,5.94,5.32,5.94,5.27,5.94,5.32,5.27,5.94,5.94,5.94,5.37,5.27,5.37,5.94,5.94,4.73,5.94,5.32,4.61,5.94,5.27,5.37,5.94,5.27,5.37,5.32,5.94,5.32,5.94,5.94,5.94,5.94,3.81,5.27,5.94,5.94,5.27,5.94,5.27,5.94,5.32,4.61,4.61,5.27,5.27,4.79,4.79,5.94,5.32,5.32,5.27,5.27,4.81,5.94,4.61,5.32,5.27,4.58,4.58,5.27,5.32,5.94,5.94,5.37,5.37,5.37,5.94,5.94,5.27,5.94,4.61,4.52,5.37,4.58,4.61,5.37,5.94,4.61,5.94,5.32,5.37,5.32,5.94,5.32,5.94,4.73,5.94,4.81,5.94,5.27,5.37,5.94,5.27,5.37,5.32,5.27,4.81,5.94,5.94,5.94,5.32,5.94,5.27,5.32,5.32,5.32,5.27,5.27,5.27,5.27,5.94,5.94,4.81,5.94,5.94
0.63,10,4.22,5.77,6.55,6.55,5.86,5.86,5.91,6.55,5.86,6.55,5.02,5.04,5.24,5.86,6.55,5.91,5.86,6.55,5.04,6.55,5.91,6.55,6.55,6.55,5.86,5.86,5.81,5.86,5.02,5.86,6.55,6.55,5.91,5.86,5.81,6.55,6.55,6.55,5.04,6.55,5.81,5.86,6.55,5.30,5.86,5.86,6.55,5.81,6.55,5.91,5.25,6.55,5.04,5.86,5.86,6.55,5.86,5.91,6.55,6.55,6.55,5.01,6.55,5.04,5.81,5.86,5.81,5.91,5.17,6.55,4.94,5.86,6.55,5.86,6.55,5.77,5.77,6.55,6.55,5.86,6.55,5.01,5.86,5.86,6.55,5.86,4.98,5.86,5.91,5.86,5.91,5.81,5.01,5.01,4.94,5.30,5.30,6.55,5.77,5.24,5.86,6.55,5.38,6.55,5.91,5.81,5.81,6.55,5.86,4.98,6.55,5.86,6.55,5.81,6.55,5.86,5.77,6.55,6.55,6.55,5.91,5.77,5.91,6.55,6.55,5.17,6.55,5.86,5.04,6.55,5.81,5.91,6.55,5.81,5.91,5.86,6.55,5.86,6.55,6.55,6.55,6.55,4.18,5.81,6.55,6.55,5.81,6.55,5.81,6.55,5.86,5.04,5.04,5.81,5.81,5.24,5.24,6.55,5.86,5.86,5.81,5.81,5.30,6.55,5.04,5.86,5.81,5.01,5.01,5.81,5.86,6.55,6.55,5.91,5.91,5.91,6.55,6.55,5.81,6.55,5.04,4.98,5.91,5.01,5.04,5.91,6.55,5.04,6.55,5.86,5.91,5.86,6.55,5.86,6.55,5.17,6.55,5.30,6.55,5.81,5.91,6.55,5.81,5.91,5.86,5.81,5.30,6.55,6.55,6.55,5.86,6.55,5.77,5.86,5.86,5.86,5.81,5.81,5.81,5.81,6.55,6.55,5.30,6.55,6.55
0.69,11,4.57,6.28,7.17,7.17,6.41,6.41,6.46,7.17,6.41,7.17,5.49,5.48,5.70,6.41,7.17,6.46,6.41,7.17,5.48,7.17,6.46,7.17,7.17,7.17,6.41,6.41,6.35,6.41,5.49,6.41,7.17,7.17,6.46,6.41,6.35,7.17,7.17,7.17,5.48,7.17,6.35,6.41,7.17,5.79,6.41,6.41,7.17,6.35,7.17,6.46,5.71,7.17,5.48,6.41,6.41,7.17,6.41,6.46,7.17,7.17,7.17,5.44,7.17,5.48,6.35,6.41,6.35,6.46,5.61,7.17,5.36,6.41,7.17,6.41,7.17,6.28,6.28,7.17,7.17,6.41,7.17,5.44,6.41,6.41,7.17,6.41,5.44,6.41,6.46,6.41,6.46,6.35,5.44,5.44,5.36,5.79,5.79,7.17,6.28,5.69,6.41,7.17,5.85,7.17,6.46,6.35,6.35,7.17,6.41,5.44,7.17,6.41,7.17,6.35,7.17,6.41,6.28,7.17,7.17,7.17,6.46,6.28,6.46,7.17,7.17,5.61,7.17,6.41,5.48,7.17,6.35,6.46,7.17,6.35,6.46,6.41,7.17,6.41,7.17,7.17,7.17,7.17,4.57,6.35,7.17,7.17,6.35,7.17,6.35,7.17,6.41,5.48,5.48,6.35,6.35,5.70,5.70,7.17,6.41,6.41,6.35,6.35,5.79,7.17,5.48,6.41,6.35,5.44,5.44,6.35,6.41,7.17,7.17,6.46,6.46,6.46,7.17,7.17,6.35,7.17,5.48,5.44,6.46,5.44,5.48,6.46,7.17,5.48,7.17,6.41,6.46,6.41,7.17,6.41,7.17,5.61,7.17,5.79,7.17,6.35,6.46,7.17,6.35,6.46,6.41,6.35,5.79,7.17,7.17,7.17,6.41,7.17,6.28,6.41,6.41,6.41,6.35,6.35,6.35,6.35,7.17,7.17,5.79,7.17,7.17
0.75,12,4.91,6.78,7.79,7.79,6.95,6.95,7.01,7.79,6.95,7.79,5.94,5.92,6.16,6.95,7.79,7.01,6.95,7.79,5.92,7.79,7.01,7.79,7.79,7.79,6.95,6.95,6.89,6.95,5.94,6.95,7.79,7.79,7.01,6.95,6.89,7.79,7.79,7.79,5.92,7.79,6.89,6.95,7.79,6.28,6.95,6.95,7.79,6.89,7.79,7.01,6.15,7.79,5.92,6.95,6.95,7.79,6.95,7.01,7.79,7.79,7.79,5.87,7.79,5.92,6.89,6.95,6.89,7.01,6.05,7.79,5.78,6.95,7.79,6.95,7.79,6.78,6.78,7.79,7.79,6.95,7.79,5.87,6.95,6.95,7.79,6.95,5.89,6.95,7.01,6.95,7.01,6.89,5.87,5.87,5.78,6.28,6.28,7.79,6.78,6.13,6.95,7.79,6.31,7.79,7.01,6.89,6.89,7.79,6.95,5.89,7.79,6.95,7.79,6.89,7.79,6.95,6.78,7.79,7.79,7.79,7.01,6.78,7.01,7.79,7.79,6.05,7.79,6.95,5.92,7.79,6.89,7.01,7.79,6.89,7.01,6.95,7.79,6.95,7.79,7.79,7.79,7.79,4.94,6.89,7.79,7.79,6.89,7.79,6.89,7.79,6.95,5.92,5.92,6.89,6.89,6.16,6.16,7.79,6.95,6.95,6.89,6.89,6.28,7.79,5.92,6.95,6.89,5.87,5.87,6.89,6.95,7.79,7.79,7.01,7.01,7.01,7.79,7.79,6.89,7.79,5.92,5.89,7.01,5.87,5.92,7.01,7.79,5.92,7.79,6.95,7.01,6.95,7.79,6.95,7.79,6.05,7.79,6.28,7.79,6.89,7.01,7.79,6.89,7.01,6.95,6.89,6.28,7.79,7.79,7.79,6.95,7.79,6.78,6.95,6.95,6.95,6.89,6.89,6.89,6.89,7.79,7.79,6.28,7.79,7.79
0.81,13,5.26,7.29,8.41,8.41,7.50,7.50,7.56,8.41,7.50,8.41,6.41,6.36,6.62,7.50,8.41,7.56,7.50,8.41,6.36,8.41,7.56,8.41,8.41,8.41,7.50,7.50,7.43,7.50,6.41,7.50,8.41,8.41,7.56,7.50,7.43,8.41,8.41,8.41,6.36,8.41,7.43,7.50,8.41,6.78,7.50,7.50,8.41,7.43,8.41,7.56,6.60,8.41,6.36,7.50,7.50,8.41,7.50,7.56,8.41,8.41,8.41,6.30,8.41,6.36,7.43,7.50,7.43,7.56,6.49,8.41,6.20,7.50,8.41,7.50,8.41,7.29,7.29,8.41,8.41,7.50,8.41,6.30,7.50,7.50,8.41,7.50,6.36,7.50,7.56,7.50,7.56,7.43,6.30,6.30,6.20,6.78,6.78,8.41,7.29,6.58,7.50,8.41,6.78,8.41,7.56,7.43,7.43,8.41,7.50,6.36,8.41,7.50,8.41,7.43,8.41,7.50,7.29,8.41,8.41,8.41,7.56,7.29,7.56,8.41,8.41,6.49,8.41,7.50,6.36,8.41,7.43,7.56,8.41,7.43,7.56,7.50,8.41,7.50,8.41,8.41,8.41,8.41,5.33,7.43,8.41,8.41,7.43,8.41,7.43,8.41,7.50,6.36,6.36,7.43,7.43,6.62,6.62,8.41,7.50,7.50,7.43,7.43,6.78,8.41,6.36,7.50,7.43,6.30,6.30,7.43,7.50,8.41,8.41,7.56,7.56,7.56,8.41,8.41,7.43,8.41,6.36,6.36,7.56,6.30,6.36,7.56,8.41,6.36,8.41,7.50,7.56,7.50,8.41,7.50,8.41,6.49,8.41,6.78,8.41,7.43,7.56,8.41,7.43,7.56,7.50,7.43,6.78,8.41,8.41,8.41,7.50,8.41,7.29,7.50,7.50,7.50,7.43,7.43,7.43,7.43,8.41,8.41,6.78,8.41,8.41
0.88,14,5.60,7.80,9.03,9.03,8.03,8.03,8.11,9.03,8.03,9.03,6.86,6.79,7.07,8.03,9.03,8.11,8.03,9.03,6.79,9.03,8.11,9.03,9.03,9.03,8.03,8.03,7.97,8.03,6.86,8.03,9.03,9.03,8.11,8.03,7.97,9.03,9.03,9.03,6.79,9.03,7.97,8.03,9.03,7.26,8.03,8.03,9.03,7.97,9.03,8.11,7.05,9.03,6.79,8.03,8.03,9.03,8.03,8.11,9.03,9.03,9.03,6.73,9.03,6.79,7.97,8.03,7.97,8.11,6.93,9.03,6.62,8.03,9.03,8.03,9.03,7.80,7.80,9.03,9.03,8.03,9.03,6.73,8.03,8.03,9.03,8.03,6.81,8.03,8.11,8.03,8.11,7.97,6.73,6.73,6.62,7.26,7.26,9.03,7.80,7.02,8.03,9.03,7.24,9.03,8.11,7.97,7.97,9.03,8.03,6.81,9.03,8.03,9.03,7.97,9.03,8.03,7.80,9.03,9.03,9.03,8.11,7.80,8.11,9.03,9.03,6.93,9.03,8.03,6.79,9.03,7.97,8.11,9.03,7.97,8.11,8.03,9.03,8.03,9.03,9.03,9.03,9.03,5.70,7.97,9.03,9.03,7.97,9.03,7.97,9.03,8.03,6.79,6.79,7.97,7.97,7.07,7.07,9.03,8.03,8.03,7.97,7.97,7.26,9.03,6.79,8.03,7.97,6.73,6.73,7.97,8.03,9.03,9.03,8.11,8.11,8.11,9.03,9.03,7.97,9.03,6.79,6.81,8.11,6.73,6.79,8.11,9.03,6.79,9.03,8.03,8.11,8.03,9.03,8.03,9.03,6.93,9.03,7.26,9.03,7.97,8.11,9.03,7.97,8.11,8.03,7.97,7.26,9.03,9.03,9.03,8.03,9.03,7.80,8.03,8.03,8.03,7.97,7.97,7.97,7.97,9.03,9.03,7.26,9.03,9.03
